,time,open,high,low,close,volume,vc
53,2020-05-05T13:06:00.000Z,8857.6,8857.6,8854.9,8855.3,156,1.56
54,2020-05-05T13:05:00.000Z,8857.5,8859.8,8857.5,8858.6,153,1.53
55,2020-05-05T13:04:00.000Z,8858.2,8860.7,8855.3,8855.3,241,2.41
56,2020-05-05T13:03:00.000Z,8860.7,8861.7,8859.3,8859.3,227,2.27
57,2020-05-05T13:02:00.000Z,8853.6,8861.3,8853.6,8858.2,148,1.48
58,2020-05-05T13:01:00.000Z,8852.7,8859.7,8847.8,8853.6,934,9.34
59,2020-05-05T13:00:00.000Z,8872,8872,8854,8854,962,9.62
60,2020-05-05T12:59:00.000Z,8871.9,8873.8,8871.5,8873.3,779,7.79
61,2020-05-05T12:58:00.000Z,8871.9,8871.9,8871.9,8871.9,0,0
62,2020-05-05T12:57:00.000Z,8871.7,8871.9,8871.7,8871.9,202,2.02
63,2020-05-05T12:56:00.000Z,8871.1,8871.9,8871,8871,76,0.76
64,2020-05-05T12:55:00.000Z,8869.6,8871,8864.5,8871,401,4.01
65,2020-05-05T12:54:00.000Z,8867.2,8871.6,8866.4,8871.6,46,0.46
66,2020-05-05T12:53:00.000Z,8865.4,8867.5,8865.4,8867.5,45,0.45
67,2020-05-05T12:52:00.000Z,8863,8863.2,8862.6,8862.6,78,0.78
68,2020-05-05T12:51:00.000Z,8860.8,8865.9,8860.8,8864.2,75,0.75
69,2020-05-05T12:50:00.000Z,8860.9,8860.9,8860.9,8860.9,0,0
70,2020-05-05T12:49:00.000Z,8860.5,8861.3,8860,8860.9,94,0.94
71,2020-05-05T12:48:00.000Z,8863.3,8864.6,8860,8861.8,465,4.65
72,2020-05-05T12:47:00.000Z,8858,8864.8,8855.6,8864.3,305,3.05
73,2020-05-05T12:46:00.000Z,8864.8,8866.4,8860,8860,313,3.13
74,2020-05-05T12:45:00.000Z,8865,8867.2,8865,8867.2,39,0.39
75,2020-05-05T12:44:00.000Z,8876,8876,8864.5,8864.5,388,3.88
76,2020-05-05T12:43:00.000Z,8878.3,8878.4,8877.2,8877.2,92,0.92
77,2020-05-05T12:42:00.000Z,8879.2,8879.2,8874.3,8878,259,2.59
78,2020-05-05T12:41:00.000Z,8875.8,8880.6,8873,8880.6,379,3.79
79,2020-05-05T12:40:00.000Z,8877.8,8877.8,8875,8875.1,267,2.67
80,2020-05-05T12:39:00.000Z,8871.6,8876,8870.2,8876,235,2.35
81,2020-05-05T12:38:00.000Z,8866.8,8873.8,8862.8,8872.9,275,2.75
82,2020-05-05T12:37:00.000Z,8871.7,8871.8,8866.7,8866.7,255,2.55
83,2020-05-05T12:36:00.000Z,8868.4,8870.7,8862.5,8870.7,400,4
84,2020-05-05T12:35:00.000Z,8871.2,8875.8,8870,8870,472,4.72
85,2020-05-05T12:34:00.000Z,8871.9,8872,8870.3,8871.1,512,5.12
86,2020-05-05T12:33:00.000Z,8868.3,8871.6,8868.3,8871.6,157,1.57
87,2020-05-05T12:32:00.000Z,8867.1,8871.8,8867.1,8868.6,243,2.43
88,2020-05-05T12:31:00.000Z,8869.1,8869.1,8866.6,8868.2,292,2.92
89,2020-05-05T12:30:00.000Z,8885,8885,8859.8,8867.4,1672,16.72
90,2020-05-05T12:29:00.000Z,8882,8887.9,8882,8884.8,437,4.37
91,2020-05-05T12:28:00.000Z,8878.4,8881.9,8878.4,8881.9,187,1.87
92,2020-05-05T12:27:00.000Z,8880.3,8881.3,8877.6,8878,216,2.16
93,2020-05-05T12:26:00.000Z,8869.2,8883,8869.2,8880.6,484,4.84
94,2020-05-05T12:25:00.000Z,8874.8,8874.8,8869,8869,492,4.92
95,2020-05-05T12:24:00.000Z,8873.8,8875.9,8870.9,8875.6,182,1.82
96,2020-05-05T12:23:00.000Z,8867.5,8873.9,8866.2,8873.9,291,2.91
97,2020-05-05T12:22:00.000Z,8864.4,8868.3,8864.4,8868.3,236,2.36
98,2020-05-05T12:21:00.000Z,8866,8869.4,8865.2,8865.2,232,2.32
99,2020-05-05T12:20:00.000Z,8864,8865,8862.6,8864,279,2.79
100,2020-05-05T12:19:00.000Z,8868.9,8869.9,8864.3,8864.3,182,1.82
101,2020-05-05T12:18:00.000Z,8871,8871,8866.2,8869,93,0.93
102,2020-05-05T12:17:00.000Z,8869.4,8873.9,8868.7,8870.6,402,4.02
103,2020-05-05T12:16:00.000Z,8868,8869.7,8868,8869.7,104,1.04
104,2020-05-05T12:15:00.000Z,8871.7,8871.7,8863.4,8866.9,535,5.35
105,2020-05-05T12:14:00.000Z,8873.3,8875.6,8869,8869,736,7.36
106,2020-05-05T12:13:00.000Z,8869,8873.9,8866.8,8873.3,1079,10.79
107,2020-05-05T12:12:00.000Z,8867,8869.7,8866,8869.4,946,9.46
108,2020-05-05T12:11:00.000Z,8866,8867.7,8864.4,8866.6,435,4.35
109,2020-05-05T12:10:00.000Z,8859.3,8865.9,8859.2,8865.8,399,3.99
110,2020-05-05T12:09:00.000Z,8846.8,8860.3,8845.9,8860.3,363,3.63
111,2020-05-05T12:08:00.000Z,8844.4,8845.9,8844.1,8845.9,40,0.4
112,2020-05-05T12:07:00.000Z,8843.1,8849.1,8843.1,8846,587,5.87
113,2020-05-05T12:06:00.000Z,8842.8,8843.9,8841,8843.5,162,1.62
114,2020-05-05T12:05:00.000Z,8832.8,8842.3,8832.6,8842.3,315,3.15
115,2020-05-05T12:04:00.000Z,8836.8,8836.8,8828.5,8833.2,855,8.55
116,2020-05-05T12:03:00.000Z,8828.4,8838.5,8827.7,8835.3,704,7.04
117,2020-05-05T12:02:00.000Z,8820.8,8841.5,8820.8,8830,1008,10.08
118,2020-05-05T12:01:00.000Z,8831,8832,8820.3,8820.3,1512,15.12
119,2020-05-05T12:00:00.000Z,8851.9,8851.9,8821,8831.5,2127,21.27
120,2020-05-05T11:59:00.000Z,8856,8856,8845.3,8853.5,699,6.99
121,2020-05-05T11:58:00.000Z,8856.5,8861.8,8856.5,8857.1,153,1.53
